lon,lat,parada,denominacion
-16.284099,28.450003,1507,Frente Hospital U Ntra Sra De La Candelaria
-16.288237,28.448044,1508,Nuevo Obrero (Antes C Autopista)
-16.292647,28.446716,1509,C Del Rosario (Blandy)
-16.295458,28.44729,1510,C/ San Jose Obrero ( Trasera Azufrera )
-16.17957,28.556386,1511,Parque Forestal (La Ensaladilla) (Bis)
-16.179588,28.556366,1512,Degollada De Paiba (Bailadero) (Bis)
-16.300783,28.443665,1515,C Tf-28 (Cc Concorde)
-16.204954,28.550182,1516,El Bailadero (Bis)
-16.206916,28.547621,1517,Cruce  El Bailadero  (Bis)
-16.30206,28.441687,1518,Ctf - 28 N 42 (Taco)
-16.305209,28.438047,1519,C Tf-28 (El Molino)
-16.307655,28.435687,1520,C Tf-28 En El N 108 (Bco Grande)
-16.311039,28.433891,1521,C Tf-28 (Casa Escobar)
-16.20272,28.547752,1522,El Tunel (Roza Sosa)
-16.31723,28.424914,1524,C Tf- 28 En El N 142 (Cuatro Caminos)
-16.318645,28.423154,1525,C Tf- 28 En El N 154 (El Chorrillo)
-16.320862,28.420736,1526,Emp El Tablero
-16.325611,28.418137,1527,Frente Transportes  Fumero (El Tablero)
-16.212106,28.556903,1528,La Fajaneta
-16.327339,28.41969,1529,Almacen De Telefonica (Tablero)
-16.213665,28.557433,1530,Bajo Asano
-16.216387,28.559423,1531,Taganana
-16.215994,28.562123,1532,La Cuestilla
-16.215528,28.561226,1533,Bar El Puente
-16.330436,28.42197,1534,C Tablero N 20 (Venta De Coches)
-16.214093,28.564206,1535,Bajo Roque
-16.331412,28.423153,1536,C El Tablero N 36 (Casa Eloy)
-16.203934,28.569599,1537,La Playa (Bar Casa Africa)
-16.333503,28.424003,1538,El Tablero
-16.202863,28.571085,1539,Bar El Mecha(almaciga)
-16.199802,28.572055,1540,Cruce Benijos (Sub Almaciga)
-16.198592,28.571178,1541,Almaciga
-16.199797,28.57194,1542,Cruce Benijos (Sub Almaciga) (Bis)
-16.335738,28.422597,1543,C Turilago  - Atam -b De Machado
-16.202817,28.571116,1544,Bar El Mecha(almaciga) (Bis)
-16.204117,28.569688,1545,La Playa (Bar Casa Africa)(bis)
-16.338482,28.419504,1546,Cruce Carretera De La Ermita (Machado)
-16.213887,28.563933,1547,Bajo Roque (Bis)
-16.215614,28.56111,1548,Bar El Puente (Bis)
-16.215917,28.561908,1549,Lacuestilla (Bis)
-16.339941,28.415329,1550,B De Machado
-16.216161,28.559312,1551,Taganana (Bis)
-16.3384,28.419494,1552,Frente Cruce Carretera De La Ermita (Machado)
-16.213543,28.557588,1553,Bajo Asano (Bis)
-16.212069,28.557013,1554,La Fajaneta (Bis)
-16.335833,28.422472,1555,C Turilago N 3 B De Machado
-16.333379,28.4239,1556,El Tablero (Vuelta)
-16.331537,28.422714,1557,C El Tablero Frente N 36 (Casa Eloy)
-16.330502,28.421696,1558,C Tablero Frente N 20 (Venta De Coches)
-16.327843,28.419933,1559,Frente Almacen De Telefonica (Tablero)
-16.325614,28.418234,1560,Transportes  Fumero (El Tablero)
-16.202813,28.547449,1561,El Tunel (Roza Sosa)    (Bis)
-16.320096,28.421195,1562,Emp El Tablero(bis)
-16.318175,28.423494,1563,C Tf- 28 Frente N 154 (El Chorrillo)
-16.204786,28.544184,1564,El Cuchillo (Emp Taganana) (Bis)
-16.316922,28.425024,1565,C Tf-28 Frente N 142 (Cuatro Caminos)
-16.313592,28.427322,1566,Portada Del Duque  (Frente Ferreteria)
-16.195969,28.544817,1567,Paiba (C Taganana) (Bis)
-16.310404,28.433643,1568,C Tf-28 Casa Escobar (Ent Urb Cuevas Blancas)
-16.307614,28.435753,1569,C Tf-28 Frente N 108 (Bco Grande)
-16.194948,28.54288,1570,La Filipina (C Taganana) (Bis)
-16.30506,28.437982,1571,C Tf-28  (Ed Telefonica)(bco Grande)
-16.196035,28.540495,1572,Entrada De Delfino(c Taganana) (Bis)
-16.301844,28.442047,1573,C Tf - 28 N 17 (Taco)
-16.199271,28.541216,1574,Bcocho Eugenio (Bis)
-16.300586,28.443702,1575,Ctf- 28 En El N 7 (Cc Concorde)
-16.292645,28.446618,1578,C Del Rosario (Frente Blandy)
-16.198084,28.532338,1579,La Hoya
-16.288411,28.447831,1580,Nuevo Obrero (Pasado Cruce Autopista)
-16.285084,28.449051,1581,Hospital U Ntra Sra De La Candelaria
-16.28133,28.451737,1582,Cabritas  (Campo Futbol)
-16.27925,28.453661,1583,Las Delicias (Pasado Cruce Cardenal Cisneros)
-16.19347,28.521619,1584,Tarajales (Etda Los Polvorines) (Bis)
-16.192941,28.506395,1588,El Puente (C Taganana) (Bis)
-16.193228,28.505005,1589,Bar El Chorro (C Taganana) (Bis)
-16.192852,28.503467,1590,San Andres (Bis)
-16.362514,28.489961,1599,Subida El Ortigal (Garden Invernaderos)
-16.362908,28.486836,1600,Subida El Ortigal N56
-16.363268,28.483909,1601,Las Veredas N 94 (Cruz Chica)
-16.363692,28.479526,1602,Arquillas Del Agua (Cchica)(farmacia)
-16.36389,28.475807,1603,El Ortigal N170 (Casa El Canario)
-16.365364,28.473729,1604,El Ortigal  (Los Braseritos)
-16.369619,28.472058,1605,El Ortigal (Camino La Iglesia)
-16.373958,28.471597,1606,El Ortigal N 343
-16.379099,28.47134,1607,Las Lajas N 271 (El Cañero)
-16.383029,28.471141,1608,El Cañero (Las Lajas)
-16.387432,28.470086,1609,Bcolas Lajas
-16.392169,28.469905,1610,Las Lajas N 181 (Bar Enrique)
-16.395341,28.469604,1611,Las Lajas N167 (Surtidor Texaco)
-16.399259,28.468998,1612,Agua García N131 (Casa Nieves)
-16.402928,28.467794,1613,Agua García N 107 (La Florida)
-16.405895,28.464961,1614,Agua García N 64
-16.408723,28.463788,1615,Agua García N 91 (El Tinajero)
-16.412622,28.461787,1616,Ravelo N 44 (Casa El Canario)
-16.415733,28.461101,1617,Ravelo ( Frente A Gasolinera)
-16.419393,28.457167,1619,C/ San Cristobal En El N 64
-16.420741,28.4556,1620,C/ San Cristobal (Cruce Con C/ El Pino)
-16.422459,28.455267,1621,C/ San Cristobal (Antes Autoservicio )
-16.424023,28.454754,1622,C/ San Cristobal  Campo De Futbol
-16.426044,28.45263,1623,Salida  C/  Real Orotava
-16.42811,28.450235,1624,Cruce Con Camino Del Monte
-16.429106,28.449139,1625,Altos Del Sauzal
-16.428085,28.450273,1626,Cruce Con Camino Del Monte  (Bis)
-16.425955,28.452568,1627,Salida  C/ Real  Orotava   (Bis)
-16.424082,28.454508,1628,C/  San Cristobal Campo De Futbol  (Bis)
-16.422439,28.455189,1629,C/ San Cristobal  En El N 142
-16.420676,28.455642,1630,C/ San Cristobal En El N 89
-16.419345,28.45703,1631,C/ San Cristobal  N 64 (Bis)
-16.418019,28.458612,1632,C/ San Cristobal (Pasado Bar Abreu)
-16.415884,28.461023,1633,Ravelo (Antes Gasolinera)
-16.418415,28.460982,1634,C/ Real Orotava (Frente Al N 113)
-16.422204,28.460868,1635,C/ Real Orotava N164
